example_response_497.txt
<example>Monument Valley, USA</example>
<example>Tassili n'Ajjer, Algeria</example>
<example>Ennedi Plateau, Chad</example>
<example>The Sphinx, Egypt</example>

1 <anti_example>Grand Canyon, USA</anti_example>
2 <anti_example>Aletsch Glacier, Switzerland</anti_example>
3 <anti_example>Mount Everest, Nepal/China</anti_example>
4 <anti_example>Niagara Falls, USA/Canada</anti_example>
5 <anti_example>Victoria Falls, Zambia/Zimbabwe</anti_example>
6 <anti_example>Uluru (Ayers Rock), Australia</anti_example>
7 <anti_example>Meteor Crater, USA</anti_example>
8 <anti_example>Dead Sea, Israel/Jordan</anti_example>
9 <anti_example>Sahara Desert, Africa</anti_example>
10 <anti_example>Amazon River, South America</anti_example>
11 <anti_example>Great Barrier Reef, Australia</anti_example>
12 <anti_example>Galapagos Islands, Ecuador</anti_example>
13 <anti_example>Matterhorn, Switzerland/Italy</anti_example>
14 <anti_example>Kilauea, USA</anti_example>
15 <anti_example>Bay of Fundy, Canada</anti_example>
16 <anti_example>Pantanal, South America</anti_example>
17 <anti_example>Lake Baikal, Russia</anti_example>
18 <anti_example>Namib Desert, Namibia</anti_example>
19 <anti_example>Angel Falls, Venezuela</anti_example>
20 <anti_example>Nile River, Africa</anti_example>
