example_response_1064.txt
<example>a rubber band</example>  
<example>a trampoline</example>  
<example>a bungee cord</example>  
<example>a yoga mat</example>  

1 <anti_example>a brick</anti_example>  
2 <anti_example>a glass bottle</anti_example>  
3 <anti_example>a steel beam</anti_example>  
4 <anti_example>a wooden chair</anti_example>  
5 <anti_example>a ceramic vase</anti_example>  
6 <anti_example>a concrete wall</anti_example>  
7 <anti_example>a marble statue</anti_example>  
8 <anti_example>a diamond ring</anti_example>  
9 <anti_example>a granite countertop</anti_example>  
10 <anti_example>a plastic spoon</anti_example>  
11 <anti_example>a metal fork</anti_example>  
12 <anti_example>a stone sculpture</anti_example>  
13 <anti_example>a porcelain plate</anti_example>  
14 <anti_example>a copper pipe</anti_example>  
15 <anti_example>a lead weight</anti_example>  
16 <anti_example>a gold bar</anti_example>  
17 <anti_example>a silver coin</anti_example>  
18 <anti_example>a wooden table</anti_example>  
19 <anti_example>a glass window</anti_example>  
20 <anti_example>a ceramic tile</anti_example>  
