example_response_1276.txt
<example>The Frick Collection, New York City</example>  
<example>The Getty Villa, Los Angeles</example>  
<example>Hearst Castle, San Simeon</example>  
<example>Vizcaya Museum and Gardens, Miami</example>  

1 <anti_example>The Eiffel Tower, Paris</anti_example>  
2 <anti_example>The Colosseum, Rome</anti_example>  
3 <anti_example>The Louvre Museum, Paris</anti_example>  
4 <anti_example>The White House, Washington D.C.</anti_example>  
5 <anti_example>The Sydney Opera House, Sydney</anti_example>  
6 <anti_example>The Palace of Versailles, Versailles</anti_example>  
7 <anti_example>The Parthenon, Athens</anti_example>  
8 <anti_example>The Taj Mahal, Agra</anti_example>  
9 <anti_example>The Great Wall of China, China</anti_example>  
10 <anti_example>The Statue of Liberty, New York City</anti_example>  
11 <anti_example>The Acropolis, Athens</anti_example>  
12 <anti_example>The Tower of London, London</anti_example>  
13 <anti_example>The Forbidden City, Beijing</anti_example>  
14 <anti_example>The Sagrada Familia, Barcelona</anti_example>  
15 <anti_example>The Pyramids of Giza, Egypt</anti_example>  
16 <anti_example>The Burj Khalifa, Dubai</anti_example>  
17 <anti_example>The Empire State Building, New York City</anti_example>  
18 <anti_example>The Leaning Tower of Pisa, Pisa</anti_example>  
19 <anti_example>The Kremlin, Moscow</anti_example>  
20 <anti_example>The Golden Gate Bridge, San Francisco</anti_example>  
