example_response_1118.txt
<example>a quartz watch</example>  
<example>a liquid crystal display (LCD)</example>  
<example>a snowflake-shaped wind chime</example>  
<example>a crystalline solar panel</example>  

1 <anti_example>a glass of water</anti_example>  
2 <anti_example>a rubber band</anti_example>  
3 <anti_example>a wooden chair</anti_example>  
4 <anti_example>a metal spoon</anti_example>  
5 <anti_example>a plastic bottle</anti_example>  
6 <anti_example>a paper airplane</anti_example>  
7 <anti_example>a clay pot</anti_example>  
8 <anti_example>a leather shoe</anti_example>  
9 <anti_example>a cotton shirt</anti_example>  
10 <anti_example>a ceramic mug</anti_example>  
11 <anti_example>a steel beam</anti_example>  
12 <anti_example>a concrete block</anti_example>  
13 <anti_example>a glass window</anti_example>  
14 <anti_example>a wooden table</anti_example>  
15 <anti_example>a plastic toy</anti_example>  
16 <anti_example>a rubber tire</anti_example>  
17 <anti_example>a metal key</anti_example>  
18 <anti_example>a paper book</anti_example>  
19 <anti_example>a clay sculpture</anti_example>  
20 <anti_example>a leather belt</anti_example>
