example_response_932.txt
<example>New Bedford, Massachusetts</example>  
<example>Grimsby, England</example>  
<example>Reykjavik, Iceland</example>  
<example>Astoria, Oregon</example>  

1 <anti_example>Paris, France</anti_example>  
2 <anti_example>New York City, New York</anti_example>  
3 <anti_example>Tokyo, Japan</anti_example>  
4 <anti_example>Los Angeles, California</anti_example>  
5 <anti_example>Rome, Italy</anti_example>  
6 <anti_example>Berlin, Germany</anti_example>  
7 <anti_example>Barcelona, Spain</anti_example>  
8 <anti_example>Chicago, Illinois</anti_example>  
9 <anti_example>London, England</anti_example>  
10 <anti_example>Beijing, China</anti_example>  
11 <anti_example>Dubai, UAE</anti_example>  
12 <anti_example>Toronto, Canada</anti_example>  
13 <anti_example>Sydney, Australia</anti_example>  
14 <anti_example>San Francisco, California</anti_example>  
15 <anti_example>Amsterdam, Netherlands</anti_example>  
16 <anti_example>Vienna, Austria</anti_example>  
17 <anti_example>Seoul, South Korea</anti_example>  
18 <anti_example>Rio de Janeiro, Brazil</anti_example>  
19 <anti_example>Moscow, Russia</anti_example>  
20 <anti_example>Bangkok, Thailand</anti_example>  
