example_response_1016.txt
<example>a silver amulet</example>  
<example>a gold-plated talisman</example>  
<example>a carved bone charm</example>  
<example>a copper ritual dagger</example>  

1 <anti_example>a silver necklace</anti_example>  
2 <anti_example>a gold ring</anti_example>  
3 <anti_example>a wooden sculpture</anti_example>  
4 <anti_example>a bronze statue</anti_example>  
5 <anti_example>a leather wallet</anti_example>  
6 <anti_example>a silk scarf</anti_example>  
7 <anti_example>a ceramic vase</anti_example>  
8 <anti_example>a glass bottle</anti_example>  
9 <anti_example>a plastic toy</anti_example>  
10 <anti_example>a cotton shirt</anti_example>  
11 <anti_example>a wool blanket</anti_example>  
12 <anti_example>a steel knife</anti_example>  
13 <anti_example>a rubber ball</anti_example>  
14 <anti_example>a paper book</anti_example>  
15 <anti_example>a linen tablecloth</anti_example>  
16 <anti_example>a stone sculpture</anti_example>  
17 <anti_example>a bamboo flute</anti_example>  
18 <anti_example>a clay pot</anti_example>  
19 <anti_example>a nylon rope</anti_example>  
20 <anti_example>a polyester jacket</anti_example>  
