example_response_138.txt
<example>Scarborough, England</example>
<example>Brighton, England</example>
<example>Margate, England</example>
<example>Southend-on-Sea, England</example>

1 <anti_example>Bath, England</anti_example>
2 <anti_example>Cannes, France</anti_example>
3 <anti_example>Miami Beach, Florida</anti_example>
4 <anti_example>Ibiza, Spain</anti_example>
5 <anti_example>Mykonos, Greece</anti_example>
6 <anti_example>Rio de Janeiro, Brazil</anti_example>
7 <anti_example>Barbados</anti_example>
8 <anti_example>Phuket, Thailand</anti_example>
9 <anti_example>Bora Bora, French Polynesia</anti_example>
10 <anti_example>Maldives</anti_example>
11 <anti_example>Dubai, UAE</anti_example>
12 <anti_example>Cape Town, South Africa</anti_example>
13 <anti_example>Sydney, Australia</anti_example>
14 <anti_example>San Diego, California</anti_example>
15 <anti_example>Acapulco, Mexico</anti_example>
16 <anti_example>Monte Carlo, Monaco</anti_example>
17 <anti_example>Nice, France</anti_example>
18 <anti_example>Naples, Italy</anti_example>
19 <anti_example>Lisbon, Portugal</anti_example>
20 <anti_example>Barcelona, Spain</anti_example>
